parFunc,nCores,nSim,OS,detectCores,time
foreach,1,1000,,,
foreach,2,1000,,,
foreach,3,1000,,,
foreach,4,1000,,,
foreach,6,1000,,,
foreach,8,1000,,,
foreach,1,5000,,,
foreach,2,5000,,,
foreach,3,5000,,,
foreach,4,5000,,,
foreach,6,5000,,,
foreach,8,5000,,,
foreach,1,10000,,,
foreach,2,10000,,,
foreach,3,10000,,,
foreach,4,10000,,,
foreach,6,10000,,,
foreach,8,10000,,,
mclapply,1,1000,,,
mclapply,2,1000,,,
mclapply,3,1000,,,
mclapply,4,1000,,,
mclapply,6,1000,,,
mclapply,8,1000,,,
mclapply,1,5000,,,
mclapply,2,5000,,,
mclapply,3,5000,,,
mclapply,4,5000,,,
mclapply,6,5000,,,
mclapply,8,5000,,,
mclapply,1,10000,,,
mclapply,2,10000,,,
mclapply,3,10000,,,
mclapply,4,10000,,,
mclapply,6,10000,,,
mclapply,8,10000,,,